RouteID,RouteName,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,RouteLength,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,DailyRides,WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership
13472,472.0,אלקטרה אפיקים תחבורה,עוטף ירושלים,י-ם,מטה בנימין,ירושלים,אזורי,מאסף,סדיר,25.7,0.8,26.0,29.81,51.73,5.0,25.0,104.0,520.0,20.8,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13478,478.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,ראש העין,תל אביב יפו,בינעירוני,ישיר,סדיר,27.7,0.2,19.0,29.77,55.83,4.0,20.0,20.3,101.5,5.1,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13478,478.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,תל אביב יפו,ראש העין,בינעירוני,ישיר,סדיר,29.0,0.2,22.0,36.98,47.05,4.0,20.0,20.0,100.0,5.0,0.0,0.2,8.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13478,478.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,ראש העין,תל אביב יפו,בינעירוני,ישיר,סדיר,27.7,0.2,19.0,28.42,58.48,4.0,20.0,19.2,96.0,4.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 15:00-18:59
13478,478.0,אלקטרה אפיקים,פתח תקוה-ראש העין,גוש דן,תל אביב יפו,ראש העין,בינעירוני,ישיר,סדיר,29.0,0.2,22.0,35.49,49.03,4.0,20.0,23.0,115.0,5.8,0.0,0.1,10.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13488,488.0,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,כפר מנדא,עמק הירדן,אזורי,מאסף,סדיר,69.8,0.1,72.0,41.2,101.65,8.0,44.0,50.1,266.0,6.0,0.0,0.0,9.8,5.2,6.2,3.8,0.0,0.0,0.0,3.9,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13488,488.0,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,עמק הירדן,כפר מנדא,אזורי,מאסף,סדיר,69.4,0.1,67.0,43.5,95.72,8.0,44.0,43.6,229.6,5.2,0.0,0.0,1.6,4.5,19.4,4.7,2.6,0.0,0.0,0.7,2.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 12:00-14:59
13488,488.0,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,כפר מנדא,עמק הירדן,אזורי,מאסף,סדיר,69.8,0.1,72.0,40.18,104.23,8.0,44.0,39.6,217.3,4.9,0.0,0.0,7.4,4.2,5.0,3.2,0.0,0.0,0.0,5.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 06:00-08:59
13488,488.0,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,עמק הירדן,כפר מנדא,אזורי,מאסף,סדיר,69.4,0.1,67.0,42.18,98.72,8.0,44.0,29.5,161.6,3.7,0.0,0.0,0.8,3.6,11.2,3.1,3.3,0.0,0.0,0.8,1.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 12:00-14:59
13490,490.0,אגד,ירושלים-תל אביב,בין מחוזי,תל אביב יפו,ירושלים,בינעירוני,מהיר,סדיר,70.4,0.2,12.0,52.24,80.86,33.0,165.0,536.2,2689.5,16.3,0.0,0.0,13.3,11.5,20.2,15.6,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ימי חול - 19:00-23:59
